Date,Open,High,Low,Close,Adj Close,Volume
6/8/2018,173.610001,174.880005,173.179993,174.440002,168.071716,31780300
6/7/2018,175.889999,175.929993,173.550003,174.429993,168.062057,39600300
6/6/2018,175.020004,175.889999,174.139999,175.860001,169.439865,25036600
6/5/2018,174.710007,175.130005,174.070007,174.839996,168.457077,24779300
6/4/2018,173.179993,174.339996,173.070007,174.300003,167.936829,20459600
6/1/2018,170.919998,172.839996,170.869995,172.740005,166.433792,45543300
5/31/2018,170.179993,171.199997,169.630005,170.070007,163.861298,35670900
5/30/2018,169.580002,170.479996,169.220001,170.179993,163.967209,22665800
5/29/2018,168.949997,169.919998,167.960007,168.970001,162.801437,41220500
5/25/2018,169.529999,170.330002,169.210007,169.720001,163.524017,27460500
5/24/2018,169.550003,169.850006,167.839996,169.550003,163.360245,27696500
5/23/2018,166.899994,169.619995,166.880005,169.600006,163.408417,26557800
5/22/2018,169.169998,169.449997,167.880005,168.179993,162.040268,19477700
5/21/2018,168.759995,169.5,167.679993,168.399994,162.252213,22954600
5/18/2018,167.679993,168.259995,167.210007,167.460007,161.346542,26217900
5/17/2018,168.389999,169.610001,167.509995,168.330002,162.184769,27480200
5/16/2018,168.089996,169.369995,168.009995,168.979996,162.811066,22941200
5/15/2018,168.410004,168.5,166.979996,167.869995,161.741562,49361600
5/14/2018,169.850006,170.820007,169.470001,169.75,163.552948,21821700
5/11/2018,169.419998,169.860001,168.720001,169.460007,163.273514,24688800
5/10/2018,168.419998,169.740005,168.289993,169.619995,163.427673,27067600
5/9/2018,166.369995,168,165.779999,167.880005,161.751205,29122700
5/8/2018,165.889999,166.429993,164.860001,166.070007,160.007294,26040200
5/7/2018,165.639999,166.779999,165.509995,166.240005,160.171082,32500200
5/4/2018,161.100006,165.25,160.979996,164.869995,158.851074,41543200
5/3/2018,161,162.399994,159.220001,161.800003,155.893173,60337100
5/2/2018,163.059998,163.570007,161.630005,161.820007,155.91246,38646800
5/1/2018,160.520004,162.800003,160.139999,162.779999,156.837402,36513500
4/30/2018,162.470001,163.479996,160.539993,160.940002,155.064575,35615300
4/27/2018,164.369995,164.410004,161.169998,162.089996,156.172577,51043400
4/26/2018,160.699997,162.529999,160.179993,161.990005,156.076218,43005500
4/25/2018,158.740005,159.309998,156.470001,158.649994,152.85817,52089300
4/24/2018,162.660004,162.910004,157.389999,158.460007,152.675079,70256800
4/23/2018,163.089996,163.729996,161.020004,161.889999,155.979904,33040600
4/20/2018,164.490005,164.610001,161.729996,162.300003,156.374908,49197100
4/19/2018,165.600006,165.990005,164.339996,164.910004,158.889633,34705700
4/18/2018,166.100006,167,165.309998,166.440002,160.363724,29573900
4/17/2018,164.240005,166.460007,163.910004,166.100006,160.036194,35536100
4/16/2018,162.5,163.190002,161.479996,162.600006,156.663971,28180800
4/13/2018,163.020004,163.259995,160.669998,161.369995,155.478882,44604900
4/12/2018,161.25,162.770004,161.160004,162.210007,156.288193,30467900
4/11/2018,160.199997,162,160.100006,160.279999,154.42865,41622100
4/10/2018,160.210007,161.729996,159.070007,161.210007,155.324707,48296800
4/9/2018,157.979996,160.880005,157.460007,157.729996,151.971756,41810400
4/6/2018,158.880005,160.460007,155.880005,156.630005,150.911911,59870900
